GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
auth-service,com.tm.auth.exception,AuthException,0,9,0,0,0,4,0,2,0,2
auth-service,com.tm.auth.exception,GlobalExceptionHandler,0,32,0,0,0,7,0,3,0,3
auth-service,com.tm.auth.config,SwaggerConfig,40,0,0,0,14,0,2,0,2,0
auth-service,com.tm.auth,UserServiceClient.ValidateUserRequest,0,26,0,0,0,9,0,6,0,6
auth-service,com.tm.auth,AuthServiceApplication,5,3,0,0,2,1,1,1,1,1
auth-service,com.tm.auth,AuthResponse,8,54,0,0,2,16,2,10,2,10
auth-service,com.tm.auth,AuthService,0,183,0,32,0,32,0,23,0,7
auth-service,com.tm.auth,AuthConfig,0,3,0,0,0,1,0,1,0,1
auth-service,com.tm.auth,RefreshTokenRequest,0,16,0,0,0,6,0,4,0,4
auth-service,com.tm.auth,LoginRequest,0,26,0,0,0,9,0,6,0,6
auth-service,com.tm.auth,JwtUtil,6,118,0,0,4,42,0,7,0,7
auth-service,com.tm.auth,AuthController,0,100,0,6,0,24,0,10,0,7
